,Event 5G-NR Events,Event LTE Events,HO Statistics Intra-LTE HO Source PCI,HO Statistics Intra-LTE HO Target PCI,5G-NR RRC NR SCG Mobility Statistics NR SCG Mobility Type,5G-NR RRC ENDC MeNB PCell Change MeNB Pcell Change Type
6947,NR MCG Handover Success	 ,None,None,None,None,None
6966,NR MCG Handover Attempt	 ,None,None,None,None,None
6969,NR MCG Handover Success	 ,None,None,None,None,None
6991,NR MCG Handover Attempt	 ,None,None,None,None,None
6994,NR MCG Handover Success	 ,None,None,None,None,None
7008,NR MCG Handover Attempt	 ,None,None,None,None,None
7013,NR MCG Handover Success	 ,None,None,None,None,None
7032,NR MCG Handover Attempt	 ,None,None,None,None,None
7034,NR MCG Handover Success	 ,None,None,None,None,None
7074,NR MCG Handover Attempt	 ,None,None,None,None,None
7077,NR MCG Handover Success	 ,None,None,None,None,None
7092,NR MCG Handover Attempt	 ,None,None,None,None,None
7095,NR MCG Handover Success	 ,None,None,None,None,None
7249,NR MCG Handover Attempt	 ,None,None,None,None,None
7252,NR MCG Handover Success	 ,None,None,None,None,None
7388,NR MCG Handover Attempt	 ,None,None,None,None,None
7391,NR MCG Handover Success	 ,None,None,None,None,None
7458,NR MCG Handover Attempt	 ,None,None,None,None,None
7461,NR MCG Handover Success	 ,None,None,None,None,None
7557,NR MCG Handover Attempt	 ,None,None,None,None,None
7559,NR MCG Handover Success	 ,None,None,None,None,None
7580,NR MCG Handover Attempt	 ,None,None,None,None,None
7584,NR MCG Handover Success	 ,None,None,None,None,None
7609,NR MCG Handover Attempt	 ,None,None,None,None,None
7613,NR MCG Handover Success	 ,None,None,None,None,None
7707,NR MCG Handover Attempt	 ,None,None,None,None,None
7711,NR MCG Handover Success	 ,None,None,None,None,None
7722,NR MCG Handover Attempt	 ,None,None,None,None,None
7726,NR MCG Handover Success	 ,None,None,None,None,None
7754,NR MCG Handover Attempt	 ,None,None,None,None,None
7757,NR MCG Handover Success	 ,None,None,None,None,None
7797,NR MCG Handover Attempt	 ,None,None,None,None,None
7801,NR MCG Handover Success	 ,None,None,None,None,None
7815,NR MCG Handover Attempt	 ,None,None,None,None,None
7818,NR MCG Handover Success	 ,None,None,None,None,None
7867,NR MCG Handover Attempt	 ,None,None,None,None,None
7871,NR MCG Handover Success	 ,None,None,None,None,None
7881,NR MCG Handover Attempt	 ,None,None,None,None,None
7884,NR MCG Handover Success	 ,None,None,None,None,None
7943,NR MCG Handover Attempt	 ,None,None,None,None,None
7946,NR MCG Handover Success	 ,None,None,None,None,None
7964,NR MCG Handover Attempt	 ,None,None,None,None,None
7968,NR MCG Handover Success	 ,None,None,None,None,None
7988,NR MCG Handover Attempt	 ,None,None,None,None,None
7991,NR MCG Handover Success	 ,None,None,None,None,None
8031,NR MCG Handover Attempt	 ,None,None,None,None,None
8034,NR MCG Handover Success	 ,None,None,None,None,None
8081,NR MCG Handover Attempt	 ,None,None,None,None,None
8084,NR MCG Handover Success	 ,None,None,None,None,None
8148,NR MCG Handover Attempt	 ,None,None,None,None,None
8150,NR MCG Handover Success	 ,None,None,None,None,None
8211,NR MCG Handover Attempt	 ,None,None,None,None,None
8213,NR MCG Handover Success	 ,None,None,None,None,None
8308,NR MCG Handover Attempt	 ,None,None,None,None,None
8312,NR MCG Handover Success	 ,None,None,None,None,None
8332,NR MCG Handover Attempt	 ,None,None,None,None,None
8335,NR MCG Handover Success	 ,None,None,None,None,None
8366,NR MCG Handover Attempt	 ,None,None,None,None,None
8369,NR MCG Handover Success	 ,None,None,None,None,None
8383,NR MCG Handover Attempt	 ,None,None,None,None,None
8387,NR MCG Handover Success	 ,None,None,None,None,None
8411,NR MCG Handover Attempt	 ,None,None,None,None,None
8414,NR MCG Handover Success	 ,None,None,None,None,None
8467,NR MCG Handover Attempt	 ,None,None,None,None,None
8470,NR MCG Handover Success	 ,None,None,None,None,None
8483,NR MCG Handover Attempt	 ,None,None,None,None,None
8486,NR MCG Handover Success	 ,None,None,None,None,None
8500,NR MCG Handover Attempt	 ,None,None,None,None,None
8504,NR MCG Handover Success	 ,None,None,None,None,None
8522,NR MCG Handover Attempt	 ,None,None,None,None,None
8525,NR MCG Handover Success	 ,None,None,None,None,None
8555,NR MCG Handover Attempt	 ,None,None,None,None,None
8557,NR MCG Handover Success	 ,None,None,None,None,None
8587,NR MCG Handover Attempt	 ,None,None,None,None,None
8590,NR MCG Handover Success	 ,None,None,None,None,None
8609,NR MCG Handover Attempt	 ,None,None,None,None,None
8612,NR MCG Handover Success	 ,None,None,None,None,None
8628,NR MCG Handover Attempt	 ,None,None,None,None,None
8630,NR MCG Handover Success	 ,None,None,None,None,None
8649,NR MCG Handover Attempt	 ,None,None,None,None,None
8651,NR MCG Handover Success	 ,None,None,None,None,None
8664,NR MCG Handover Attempt	 ,None,None,None,None,None
8667,NR MCG Handover Success	 ,None,None,None,None,None
8699,NR MCG Handover Attempt	 ,None,None,None,None,None
8701,NR MCG Handover Success	 ,None,None,None,None,None
8717,NR MCG Handover Attempt	 ,None,None,None,None,None
8720,NR MCG Handover Success	 ,None,None,None,None,None
8778,NR MCG Handover Attempt	 ,None,None,None,None,None
8838,NR MCG Handover Attempt	 ,None,None,None,None,None
8841,NR MCG Handover Success	 ,None,None,None,None,None
8857,NR MCG Handover Attempt	 ,None,None,None,None,None
8859,NR MCG Handover Success	 ,None,None,None,None,None
8916,NR MCG Handover Attempt	 ,None,None,None,None,None
8919,NR MCG Handover Success	 ,None,None,None,None,None
8937,NR MCG Handover Attempt	 ,None,None,None,None,None
8941,NR MCG Handover Success	 ,None,None,None,None,None
8970,NR MCG Handover Attempt	 ,None,None,None,None,None
8973,NR MCG Handover Success	 ,None,None,None,None,None
8988,NR MCG Handover Attempt	 ,None,None,None,None,None
8990,NR MCG Handover Success	 ,None,None,None,None,None
9017,NR MCG Handover Attempt	 ,None,None,None,None,None
9020,NR MCG Handover Success	 ,None,None,None,None,None
9043,NR MCG Handover Attempt	 ,None,None,None,None,None
9046,NR MCG Handover Success	 ,None,None,None,None,None
9083,NR MCG Handover Attempt	 ,None,None,None,None,None
9085,NR MCG Handover Success	 ,None,None,None,None,None
9103,NR MCG Handover Attempt	 ,None,None,None,None,None
9106,NR MCG Handover Success	 ,None,None,None,None,None
9201,NR MCG Handover Attempt	 ,None,None,None,None,None
9203,NR MCG Handover Success	 ,None,None,None,None,None
9293,NR MCG Handover Attempt	 ,None,None,None,None,None
9296,NR MCG Handover Success	 ,None,None,None,None,None
