,HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
427,5GNSA_4GChange,0.021,0.035,0.053
428,5GNSA_4GChange,0.04,0.058,0.097
429,5GNSA_4GChange,0.041,0.198,0.141
430,4G_4G,0.016,0.033,
431,5GNSA_4G5GChange,0.025,0.039,0.104
432,5GNSA_4GChange,0.043,0.056,0.491
433,5GNSA_4GChange,0.017,0.211,0.51
434,5GNSA_5GChange,0.011,,0.25
435,5GNSA_5GChange,0.012,,0.945
436,5GNSA_4GChange,0.036,0.048,0.125
437,5GNSA_4GChange,0.037,0.052,0.054
438,5GNSA_5GChange,0.012,,0.07
439,5GNSA_4GChange,0.036,0.054,0.096
440,5GNSA_4G5GChange,0.021,0.032,0.077
441,5GNSA_5GChange,0.012,,0.089
442,5GNSA_4GChange,0.045,0.057,0.109
443,5GNSA_5GChange,0.012,,0.278
444,5GNSA_4GChange,0.041,0.053,0.299
445,5GNSA_4GChange,0.017,0.037,0.112
446,5GNSA_4GChange,0.02,0.031,0.076
447,5GNSA_4GChange,0.049,0.058,0.134
448,5GNSA_5GChange,0.012,,0.052
449,5GNSA_4GChange,0.036,0.056,0.064
450,5GNSA_5GChange,0.011,,0.125
451,5GNSA_4G5GChange,0.037,0.056,0.088
452,5GNSA_5GChange,0.013,,0.097
453,5GNSA_5GChange,0.011,,0.059
454,5GNSA_5GChange,0.012,,0.061
455,5GNSA_4GChange,0.026,0.039,0.086
456,5GNSA_5GChange,0.011,,0.114
457,5GNSA_5GChange,0.011,,0.081
458,4G_4G,0.024,0.035,
459,5GNSA_5GChange,0.021,,0.101
460,5GNSA_4GChange,0.04,0.055,0.08
461,5GNSA_5GChange,0.015,,0.082
462,4G_4G,0.056,0.067,0.094
463,5GNSA_4GChange,0.036,0.056,0.077
464,5GNSA_5GChange,0.013,,0.081
465,5GNSA_4GChange,0.035,0.05,0.108
466,5GNSA_4G5GChange,0.019,0.038,0.129
467,5GNSA_5GChange,0.018,,0.069
468,4G_4G,0.02,0.033,0.08
469,4G_4G,0.02,0.037,
470,4G_4G,0.057,0.076,
471,4G_4G,0.054,0.07,0.104
472,4G_4G,0.023,0.04,0.076
473,5GNSA_4GChange,0.019,0.034,0.071
474,5GNSA_4GChange,0.024,0.043,0.057
475,5GNSA_5GChange,0.013,,0.089
476,4G_4G,0.022,0.04,0.088
477,4G_4G,0.021,0.034,
478,4G_4G,0.023,0.039,0.077
479,5GNSA_5GChange,0.011,,0.066
480,5GNSA_4GChange,0.018,0.031,0.063
481,5GNSA_4GChange,0.038,0.05,0.068
482,5GNSA_5GChange,0.02,,0.097
483,5GNSA_4GChange,0.034,0.048,0.085
484,5GNSA_5GChange,0.05,,0.129
485,5GNSA_4GChange,0.033,0.044,0.466
486,5GNSA_4GChange,0.045,0.063,0.488
487,5GNSA_4GChange,0.043,0.063,0.094
488,5GNSA_4GChange,0.039,0.052,0.387
489,5GNSA_4GChange,0.027,0.038,0.065
490,5GNSA_5GChange,0.019,,0.096
491,5GNSA_4GChange,0.038,0.049,0.083
492,5GNSA_5GChange,0.012,,0.081
493,5GNSA_4GChange,0.035,0.055,0.082
494,5GNSA_5GChange,0.019,,0.103
495,5GNSA_5GChange,0.013,,0.083
496,5GNSA_5GChange,0.021,,0.099
497,4G_4G,0.031,0.045,
498,4G_4G,0.028,0.045,0.212
499,5GNSA_5GChange,0.011,,0.126
500,5GNSA_4GChange,0.031,0.048,0.119
501,5GNSA_5GChange,0.011,,0.087
502,5GNSA_4GChange,0.042,0.053,0.118
503,5GNSA_4GChange,0.043,0.06,0.066
504,5GNSA_5GChange,0.011,,0.119
505,5GNSA_5GChange,0.012,,0.12
506,5GNSA_5GChange,0.012,,0.082
507,4G_4G,0.021,0.039,0.244
508,5GNSA_5GChange,0.012,,0.086
509,5GNSA_5GChange,0.012,,0.077
510,5GNSA_5GChange,0.012,,0.13
511,5GNSA_5GChange,0.013,,0.138
512,5GNSA_5GChange,0.012,,0.116
513,4G_4G,0.025,0.038,0.157
514,5GNSA_4GChange,0.043,0.053,0.081
515,5GNSA_4GChange,0.036,0.047,0.054
516,5GNSA_5GChange,0.011,,0.121
517,4G_4G,0.025,0.036,
518,4G_4G,0.02,0.038,
519,4G_4G,0.031,0.043,
520,5GNSA_4GChange,0.019,0.034,0.061
521,5GNSA_4GChange,0.035,0.046,0.077
522,5GNSA_5GChange,0.013,,0.091
523,4G_4G,0.025,0.041,
524,4G_4G,0.022,0.04,0.189
525,5GNSA_4GChange,0.044,0.055,0.18
526,5GNSA_4GChange,0.015,0.028,0.13
527,5GNSA_4G5GChange,0.037,0.053,0.071
528,5GNSA_4G5GChange,0.033,0.049,0.071
529,4G_4G,0.027,0.044,
530,4G_4G,0.024,0.04,0.103
531,4G_4G,0.025,0.043,
532,4G_4G,0.023,0.043,0.102
533,5GNSA_4GChange,0.046,0.065,0.137
534,5GNSA_5GChange,0.01,,0.133
535,5GNSA_5GChange,0.012,,0.106
536,5GNSA_5GChange,0.012,,0.102
537,5GNSA_5GChange,0.014,,0.09
538,5GNSA_5GChange,0.014,,0.077
539,5GNSA_4GChange,0.024,0.044,0.071
540,5GNSA_4GChange,0.033,0.053,0.064
541,5GNSA_5GChange,0.013,,0.084
542,5GNSA_4GChange,0.019,0.052,0.059
543,5GNSA_4GChange,0.037,0.056,0.067
544,4G_4G,0.023,0.038,
545,4G_4G,0.031,0.043,
546,4G_4G,0.024,0.042,0.296
