HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
5GNSA_4GChange,0.024,0.034,0.092
5GNSA_4GChange,0.022,0.04,0.078
5GNSA_5GChange,0.013,,0.092
5GNSA_5GChange,0.015,,0.165
5GNSA_4GChange,0.023,0.038,0.114
5GNSA_4GChange,0.025,0.042,0.238
5GNSA_5GChange,0.012,,0.926
5GNSA_4GChange,0.023,0.041,0.077
5GNSA_4GChange,0.021,0.038,0.096
5GNSA_4GChange,0.024,0.036,0.131
5GNSA_4GChange,0.024,0.034,0.11
5GNSA_5GChange,0.012,,0.123
5GNSA_4GChange,0.026,0.044,0.107
5GNSA_4GChange,0.02,0.037,0.09
5GNSA_4GChange,0.019,0.033,0.079
5GNSA_5GChange,0.017,,0.112
5GNSA_5GChange,0.027,,0.078
5GNSA_5GChange,0.011,,0.277
5GNSA_5GChange,0.018,,0.263
5GNSA_5GChange,0.023,,0.136
5GNSA_4GChange,0.018,0.028,0.124
5GNSA_4GChange,0.018,0.03,0.123
